name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand,price_category,mileage_category,age_category,log_price,owner_encoded,transmission_encoded,fuel_encoded,seller_type_encoded,brand_encoded,price_category_encoded,mileage_category_encoded,age_category_encoded
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,Second Owner,14,Chevrolet,Budget,Very High,Old,12.542544882151386,1,0,1,1,3,0,3,2
Toyota Corolla Altis Diesel D4DG,2011,350000,230000,Diesel,Individual,Manual,First Owner,13,Toyota,Mid-Range,Very High,Old,12.765688433465597,0,0,1,1,26,1,3,2
Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,First Owner,7,Mahindra,Mid-Range,Medium,Recent,13.253391639810733,0,0,1,1,17,1,1,1
Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,First Owner,6,Hyundai,Budget,Low,Recent,12.611537753638338,0,0,4,1,10,0,0,1
Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner,17,Tata,Budget,Low,Very Old,11.512925464970229,0,0,1,1,25,0,0,3
Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,Third Owner,15,Toyota,Mid-Range,High,Old,13.122363377404328,2,0,1,1,26,1,2,2
Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,10,Tata,Budget,High,Old,11.736069016284437,3,0,1,1,25,0,2,2
Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner,18,Maruti,Budget,High,Very Old,11.77528972943772,2,0,4,1,18,0,2,3
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner,7,Ford,Premium,Low,Recent,13.737549016494562,0,0,1,1,8,2,0,1
Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,First Owner,6,Maruti,Premium,Medium,Recent,13.527828485512494,0,0,1,1,18,2,1,1
Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner,17,Honda,Budget,Medium,Very Old,12.206072645530174,1,1,4,1,9,0,1,3
Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,Second Owner,14,Hyundai,Budget,Medium,Old,12.421184025147118,1,0,4,1,10,0,1,2
Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner,10,Skoda,Mid-Range,High,Old,13.017002861746503,1,0,1,1,24,1,2,2
Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner,19,Hyundai,Budget,High,Very Old,11.289781913656018,2,0,4,1,10,0,2,3
Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner,10,Nissan,Premium,Medium,Old,13.38472764187182,1,0,4,1,21,2,1,2
Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,First Owner,9,Hyundai,Mid-Range,Medium,Old,13.017002861746503,0,0,1,1,10,1,1,2
Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner,5,Hyundai,Premium,Low,Recent,13.38472764187182,0,0,1,1,10,2,0,1
Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner,8,Honda,Mid-Range,Low,Old,13.112313041550827,0,0,4,0,9,1,0,2
Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner,9,Honda,Mid-Range,Low,Old,12.823957341589573,0,0,4,0,9,1,0,2
Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner,7,Hyundai,Luxury,Low,Recent,13.840203170554645,0,0,4,0,10,3,0,1
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner,7,Mercedes-Benz,Luxury,Low,Recent,15.913528485217045,0,1,1,0,19,3,0,1
Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner,9,Mahindra,Premium,Medium,Old,13.527828485512494,0,0,1,1,17,2,1,2
Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner,11,Renault,Mid-Range,High,Old,13.304684934198283,0,0,1,1,23,1,2,2
Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,17,Hyundai,Budget,Medium,Very Old,11.289781913656018,1,0,4,0,10,0,1,3
Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner,11,Mahindra,Mid-Range,Medium,Old,12.691580461311874,0,0,1,0,17,1,1,2
Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,10,Audi,Luxury,Low,Old,14.20077295875492,1,1,1,0,1,3,0,2
Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner,9,Fiat,Mid-Range,Medium,Old,12.765688433465597,1,0,1,1,6,1,1,2
Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner,11,Audi,Luxury,Low,Old,14.845129975145433,0,1,1,0,1,3,0,2
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,7,Datsun,Budget,Low,Recent,12.254862809699606,1,0,4,0,5,0,0,1
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner,11,Volkswagen,Mid-Range,Low,Old,13.017002861746503,0,0,4,1,27,1,0,2
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner,11,Audi,Luxury,Medium,Old,13.955272500339433,0,1,1,0,1,3,1,2
Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,15,Honda,Budget,Medium,Old,12.254862809699606,0,1,4,0,9,0,1,2
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner,6,Mercedes-Benz,Luxury,Low,Recent,15.319587954740548,0,1,4,0,19,3,0,1
BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner,7,BMW,Luxury,Low,Recent,14.827111469642754,0,1,1,1,2,3,0,1
Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner,6,Volvo,Luxury,Low,Recent,14.496078956317358,0,1,1,0,28,3,0,1
Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Dealer,Manual,First Owner,16,Maruti,Budget,Low,Very Old,12.072541252905651,0,0,4,0,18,0,0,3
BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner,12,BMW,Luxury,Low,Old,14.73180128983843,0,1,1,0,2,3,0,2
Mahindra Bolero Power Plus SLX,2017,628000,120000,Diesel,Individual,Manual,First Owner,7,Mahindra,Premium,High,Recent,13.350295445450335,0,0,1,1,17,2,2,1
Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Individual,Manual,First Owner,14,Hyundai,Mid-Range,Medium,Old,13.304684934198283,0,0,1,1,10,1,1,2
Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,First Owner,7,Nissan,Mid-Range,Low,Recent,12.896716695872,0,0,4,1,21,1,0,1
Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,First Owner,6,Mahindra,Premium,Medium,Recent,13.527828485512494,0,0,1,1,17,2,1,1
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Individual,Manual,First Owner,5,Hyundai,Premium,Low,Recent,13.527828485512494,0,0,4,1,10,2,0,1
Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner,7,Renault,Mid-Range,Low,Recent,12.66032791780777,0,0,4,1,23,1,0,1
Mahindra Xylo E4 BS III,2012,600000,60000,Diesel,Individual,Manual,First Owner,12,Mahindra,Mid-Range,Medium,Old,13.304684934198283,0,0,1,1,17,1,1,2
Maruti Wagon R LXI Minor,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,14,Maruti,Budget,Medium,Old,11.512925464970229,3,0,4,1,18,0,1,2
Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Individual,Manual,Third Owner,13,Maruti,Budget,High,Old,12.429216196844383,2,0,4,1,18,0,2,2
Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner,7,Renault,Mid-Range,Low,Recent,12.765688433465597,0,0,4,1,23,1,0,1
Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Individual,Manual,First Owner,8,Hyundai,Premium,Medium,Old,13.567049198665774,0,0,1,1,10,2,1,2
Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Individual,Manual,Second Owner,10,Maruti,Mid-Range,Medium,Old,12.980799813082541,1,0,1,1,18,1,1,2
Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Individual,Automatic,First Owner,8,Hyundai,Premium,Medium,Old,13.444446876573442,0,1,4,1,10,2,1,2
Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Individual,Manual,Second Owner,10,Mahindra,Mid-Range,Medium,Old,13.226723392728571,1,0,1,1,17,1,1,2
Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Individual,Manual,Second Owner,17,Maruti,Budget,Medium,Very Old,11.695247021764184,1,0,4,1,18,0,1,3
Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner,10,Maruti,Mid-Range,High,Old,13.122363377404328,1,0,1,1,18,1,2,2
Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner,11,Chevrolet,Budget,Medium,Old,12.013700752882718,1,0,1,1,3,0,1,2
Maruti Zen LX,2004,95000,50000,Petrol,Individual,Manual,First Owner,20,Maruti,Budget,Low,Very Old,11.461632170582678,0,0,4,1,18,0,0,3
Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Individual,Manual,First Owner,6,Maruti,Mid-Range,Low,Recent,13.217673557208654,0,0,4,1,18,1,0,1
Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,17,Maruti,Budget,High,Very Old,11.512925464970229,3,0,1,1,18,0,2,3
Tata Nano Lx BSIV,2012,100000,50000,Petrol,Individual,Manual,Second Owner,12,Tata,Budget,Low,Old,11.512925464970229,1,0,4,1,25,0,0,2
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Individual,Manual,First Owner,12,Toyota,Mid-Range,Medium,Old,13.122363377404328,0,0,1,1,26,1,1,2
Maruti Ertiga SHVS VDI,2016,800000,70000,Diesel,Individual,Manual,Second Owner,8,Maruti,Premium,Medium,Old,13.592367006650065,1,0,1,1,18,2,1,2
Hyundai Creta 1.6 CRDi SX,2016,840000,70000,Diesel,Individual,Manual,Second Owner,8,Hyundai,Premium,Medium,Old,13.641157170819497,1,0,1,1,10,2,1,2
Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Individual,Manual,First Owner,8,Honda,Mid-Range,Low,Old,13.102160670086809,0,0,4,1,9,1,0,2
Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Individual,Manual,Second Owner,14,Tata,Budget,Medium,Old,11.736069016284437,1,0,1,1,25,0,1,2
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000,Diesel,Individual,Manual,Third Owner,12,Chevrolet,Mid-Range,High,Old,12.89921982609012,2,0,1,1,3,1,2,2
Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Dealer,Manual,First Owner,9,Chevrolet,Premium,Low,Old,13.815510557964274,0,0,1,0,3,2,0,2
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Dealer,Manual,First Owner,9,Ford,Mid-Range,Low,Old,13.180632285528304,0,0,4,0,8,1,0,2
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,Diesel,Dealer,Manual,First Owner,7,Ford,Premium,Low,Recent,13.641157170819497,0,0,1,0,8,2,0,1
Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,First Owner,9,Hyundai,Budget,Low,Old,12.345830240069793,0,0,4,1,10,0,0,2
Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,26,Maruti,Budget,Low,Very Old,10.596634733096073,3,0,4,1,18,0,0,3
Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Individual,Manual,First Owner,12,Chevrolet,Budget,Medium,Old,11.77528972943772,0,0,4,1,3,0,1,2
Hyundai EON Era Plus,2015,200000,70000,Petrol,Individual,Manual,First Owner,9,Hyundai,Budget,Medium,Old,12.206072645530174,0,0,4,1,10,0,1,2
Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Individual,Manual,First Owner,13,Tata,Budget,Medium,Old,11.695247021764184,0,0,1,1,25,0,1,2
Hyundai Santro LP zipPlus,2003,75000,57000,Petrol,Individual,Manual,First Owner,21,Hyundai,Budget,Medium,Very Old,11.225243392518447,0,0,4,1,10,0,1,3
Tata Bolt Quadrajet XE,2016,250000,120000,Diesel,Individual,Manual,First Owner,8,Tata,Budget,High,Old,12.429216196844383,0,0,1,1,25,0,2,2
Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,First Owner,19,Maruti,Budget,Low,Very Old,11.512925464970229,0,0,4,1,18,0,0,3
Hyundai EON Era Plus,2013,280000,3240,Petrol,Individual,Manual,Second Owner,11,Hyundai,Budget,Low,Old,12.542544882151386,1,0,4,1,10,0,0,2
Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Individual,Manual,First Owner,9,Hyundai,Mid-Range,Low,Old,13.199324418540456,0,0,4,1,10,1,0,2
Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Individual,Manual,First Owner,6,Hyundai,Premium,Low,Recent,13.458835614025542,0,0,4,1,10,2,0,1
Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Individual,Manual,First Owner,9,Maruti,Mid-Range,Medium,Old,13.17115354157376,0,0,1,1,18,1,1,2
Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Individual,Manual,First Owner,8,Hyundai,Mid-Range,Medium,Old,12.971540487669746,0,0,1,1,10,1,1,2
Hyundai Santro LE,2002,65000,70000,Petrol,Individual,Manual,First Owner,22,Hyundai,Budget,Medium,Very Old,11.082142548877775,0,0,4,1,10,0,1,3
Maruti Vitara Brezza VDi,2018,800000,35000,Diesel,Individual,Manual,First Owner,6,Maruti,Premium,Low,Recent,13.592367006650065,0,0,1,1,18,2,0,1
Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,Petrol,Individual,Manual,Second Owner,17,Hyundai,Budget,High,Very Old,11.225243392518447,1,0,4,1,10,0,2,3
Hyundai Getz 1.3 GLS,2008,210000,53772,Petrol,Individual,Manual,First Owner,16,Hyundai,Budget,Medium,Very Old,12.254862809699606,0,0,4,1,10,0,1,3
Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,Second Owner,12,Mahindra,Budget,High,Old,12.180754837545884,1,0,1,1,17,0,2,2
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,Diesel,Individual,Manual,First Owner,9,Chevrolet,Mid-Range,High,Old,12.89921982609012,0,0,1,1,3,1,2,2
Hyundai EON Magna Plus,2012,170000,60000,Petrol,Individual,Manual,First Owner,12,Hyundai,Budget,Medium,Old,12.043553716032399,0,0,4,1,10,0,1,2
Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner,8,Renault,Budget,Low,Old,12.323855681186558,0,0,4,1,23,0,0,2
Maruti Wagon R DUO LPG,2014,210000,90000,LPG,Individual,Manual,First Owner,10,Maruti,Budget,Medium,Old,12.254862809699606,0,0,3,1,18,0,1,2
Maruti Wagon R LXI,2020,240000,120000,Petrol,Individual,Manual,First Owner,4,Maruti,Budget,High,Recent,12.388394202324129,0,0,4,1,18,0,2,1
Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,175000,Diesel,Individual,Manual,First Owner,9,Chevrolet,Budget,High,Old,12.611537753638338,0,0,1,1,3,0,2,2
Chevrolet Spark 1.0 LS,2011,99000,100000,Petrol,Individual,Manual,Third Owner,13,Chevrolet,Budget,Medium,Old,11.502875129116727,2,0,4,1,3,0,1,2
Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,First Owner,10,Honda,Premium,Low,Old,13.337474757021274,0,0,4,1,9,2,0,2
Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First Owner,11,Honda,Mid-Range,Low,Old,13.122363377404328,0,0,1,1,9,1,0,2
Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner,14,Jaguar,Luxury,Low,Old,14.75160391713461,1,1,4,1,12,3,0,2
Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,Second Owner,11,Honda,Budget,Medium,Old,12.468436909997665,1,0,4,1,9,0,1,2
Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Individual,Manual,First Owner,7,Maruti,Mid-Range,Medium,Recent,13.217673557208654,0,0,4,1,18,1,1,1
Tata Indigo CR4,2011,150000,155500,Diesel,Individual,Manual,First Owner,13,Tata,Budget,High,Old,11.918390573078392,0,0,1,1,25,0,2,2
