car_age,km_driven,fuel_encoded,seller_type_encoded,transmission_encoded,owner_encoded,brand_encoded,selling_price,name,year,brand,fuel,seller_type,transmission,owner,price_category,mileage_category,age_category,price_category_encoded,mileage_category_encoded,age_category_encoded,log_price
6,14500,4,0,0,0,9,930000,Honda City V MT,2018,Honda,Petrol,Dealer,Manual,First Owner,Premium,Low,Recent,2,0,1,13.742939865129438
6,15000,4,1,0,0,25,525000,Tata Tigor 1.2 Revotron XT,2018,Tata,Petrol,Individual,Manual,First Owner,Mid-Range,Low,Recent,1,0,1,13.17115354157376
11,50000,1,0,1,0,1,1735000,Audi A6 2.0 TDI  Design Edition,2013,Audi,Diesel,Dealer,Automatic,First Owner,Luxury,Low,Old,3,0,2,14.366517971363097
12,33800,1,0,1,1,19,1375000,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,Mercedes-Benz,Diesel,Dealer,Automatic,Second Owner,Luxury,Low,Old,3,0,2,14.133964289082808
13,130400,1,0,1,1,24,450000,Skoda Superb Ambition 2.0 TDI CR AT,2011,Skoda,Diesel,Dealer,Automatic,Second Owner,Mid-Range,High,Old,1,2,2,13.017002861746503
8,50000,4,1,1,0,26,900000,Toyota Corolla Altis G AT,2016,Toyota,Petrol,Individual,Automatic,First Owner,Premium,Low,Old,2,0,2,13.710150042306449
9,80000,1,1,0,0,26,1300000,Toyota Innova 2.5 G (Diesel) 7 Seater,2015,Toyota,Diesel,Individual,Manual,First Owner,Luxury,Medium,Old,3,1,2,14.077874822431765
5,10000,4,1,0,0,13,1400000,Jeep Compass 1.4 Sport Plus BSIV,2019,Jeep,Petrol,Individual,Manual,First Owner,Luxury,Low,Recent,3,0,1,14.151982794585487
14,119000,4,0,1,0,19,850000,Mercedes-Benz E-Class E 200 CGI Elegance,2010,Mercedes-Benz,Petrol,Dealer,Automatic,First Owner,Premium,High,Old,2,2,2,13.652991628466498
10,60000,4,1,0,3,10,229999,Hyundai i10 Magna 1.1L,2014,Hyundai,Petrol,Individual,Manual,Fourth & Above Owner,Budget,Medium,Old,0,1,2,12.345830240069793
11,75800,1,0,1,1,2,1550000,BMW 3 Series 320d Sport Line,2013,BMW,Diesel,Dealer,Automatic,Second Owner,Luxury,Medium,Old,3,1,2,14.253765488895429
15,78000,1,0,1,2,1,1250000,Audi Q7 35 TDI Quattro Premium,2009,Audi,Diesel,Dealer,Automatic,Third Owner,Luxury,Medium,Old,3,1,2,14.038654109278484
12,40000,1,1,0,0,10,625000,Hyundai Elantra CRDi S,2012,Hyundai,Diesel,Individual,Manual,First Owner,Premium,Low,Old,2,0,2,13.345506928718539
10,50000,1,1,0,0,17,1050000,Mahindra Scorpio 1.99 S10,2014,Mahindra,Diesel,Individual,Manual,First Owner,Luxury,Low,Old,3,0,2,13.864300722133706
10,74000,1,1,0,1,9,560000,Honda City i DTEC V,2014,Honda,Diesel,Individual,Manual,Second Owner,Mid-Range,Medium,Old,1,1,2,13.235692062711331
10,64000,4,1,0,1,18,290000,Maruti Wagon R VXI BS IV with ABS,2014,Maruti,Petrol,Individual,Manual,Second Owner,Budget,Medium,Old,0,1,2,12.577636201962656
12,60000,4,1,0,1,18,275000,Maruti Wagon R VXI BS IV,2012,Maruti,Petrol,Individual,Manual,Second Owner,Budget,Medium,Old,0,1,2,12.524526376648708
15,120000,1,1,0,1,17,411000,Mahindra Scorpio LX,2009,Mahindra,Diesel,Individual,Manual,Second Owner,Mid-Range,High,Old,1,2,2,12.926348493478372
15,79000,4,1,0,2,10,150000,Hyundai Santro Xing GLS,2009,Hyundai,Petrol,Individual,Manual,Third Owner,Budget,Medium,Old,0,1,2,11.918390573078392
5,15000,4,1,0,0,10,500000,Hyundai Grand i10 1.2 Kappa Asta,2019,Hyundai,Petrol,Individual,Manual,First Owner,Mid-Range,Low,Recent,1,0,1,13.122363377404328
18,80000,4,1,0,0,18,100000,Maruti Alto LXi,2006,Maruti,Petrol,Individual,Manual,First Owner,Budget,Medium,Very Old,0,1,3,11.512925464970229
7,18500,1,0,0,0,18,725000,Maruti Swift Dzire VDI Optional,2017,Maruti,Diesel,Dealer,Manual,First Owner,Premium,Low,Recent,2,0,1,13.493926933836812
6,10200,4,0,0,0,18,401000,Maruti Eeco 5 Seater AC BSIV,2018,Maruti,Petrol,Dealer,Manual,First Owner,Mid-Range,Low,Recent,1,0,1,12.901716706288706
6,29000,1,0,0,0,10,750000,Hyundai i20 Sportz 1.4 CRDi,2018,Hyundai,Diesel,Dealer,Manual,First Owner,Premium,Low,Recent,2,0,1,13.527828485512494
6,28000,4,0,0,0,18,310000,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,Maruti,Petrol,Dealer,Manual,First Owner,Mid-Range,Low,Recent,1,0,1,12.644327576461329
8,46000,1,0,0,0,18,665000,Maruti Swift ZDi BSIV,2016,Maruti,Diesel,Dealer,Manual,First Owner,Premium,Low,Old,2,0,2,13.407542319637992
10,70000,1,0,0,0,10,465000,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,Hyundai,Diesel,Dealer,Manual,First Owner,Mid-Range,Medium,Old,1,1,2,13.049792684569493
12,60000,4,1,0,1,18,160000,Maruti Alto LXi,2012,Maruti,Petrol,Individual,Manual,Second Owner,Budget,Medium,Old,0,1,2,11.982929094215963
28,35000,1,1,0,1,17,250000,Mahindra Jeep CL 500 MDI,1996,Mahindra,Diesel,Individual,Manual,Second Owner,Budget,Low,Very Old,0,0,3,12.429216196844383
10,90000,1,0,0,0,9,675000,Honda City i DTEC VX,2014,Honda,Diesel,Dealer,Manual,First Owner,Premium,Medium,Old,2,1,2,13.422467969854667
11,80000,4,0,0,0,18,300000,Maruti Wagon R VXI BS IV,2013,Maruti,Petrol,Dealer,Manual,First Owner,Budget,Medium,Old,0,1,2,12.611537753638338
19,80000,1,1,0,0,25,70000,Tata Indica DLS,2005,Tata,Diesel,Individual,Manual,First Owner,Budget,Medium,Very Old,0,1,3,11.156250521031495
10,73300,4,0,0,1,10,240000,Hyundai EON Magna Plus,2014,Hyundai,Petrol,Dealer,Manual,Second Owner,Budget,Medium,Old,0,1,2,12.388394202324129
10,92000,1,0,0,0,26,525000,Toyota Etios GD,2014,Toyota,Diesel,Dealer,Manual,First Owner,Mid-Range,Medium,Old,1,1,2,13.17115354157376
15,66764,4,0,0,1,18,151000,Maruti Alto LXi,2009,Maruti,Petrol,Dealer,Manual,Second Owner,Budget,Medium,Old,0,1,2,11.925035115797062
15,100000,4,1,0,0,18,140000,Maruti Alto LXi,2009,Maruti,Petrol,Individual,Manual,First Owner,Budget,Medium,Old,0,1,2,11.84939770159144
14,350000,1,1,0,1,3,280000,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,Chevrolet,Diesel,Individual,Manual,Second Owner,Budget,Very High,Old,0,3,2,12.542544882151386
13,230000,1,1,0,0,26,350000,Toyota Corolla Altis Diesel D4DG,2011,Toyota,Diesel,Individual,Manual,First Owner,Mid-Range,Very High,Old,1,3,2,12.765688433465597
7,60000,1,1,0,0,17,570000,Mahindra Scorpio 1.99 S6 Plus,2017,Mahindra,Diesel,Individual,Manual,First Owner,Mid-Range,Medium,Recent,1,1,1,13.253391639810733
6,31000,4,1,0,0,10,300000,Hyundai EON Magna Plus,2018,Hyundai,Petrol,Individual,Manual,First Owner,Budget,Low,Recent,0,0,1,12.611537753638338
17,39000,1,1,0,0,25,100000,Tata Indigo Classic Dicor,2007,Tata,Diesel,Individual,Manual,First Owner,Budget,Low,Very Old,0,0,3,11.512925464970229
15,120000,1,1,0,2,26,500000,Toyota Innova 2.5 V Diesel 8-seater,2009,Toyota,Diesel,Individual,Manual,Third Owner,Mid-Range,High,Old,1,2,2,13.122363377404328
10,166000,1,1,0,3,25,125000,Tata Indica Vista Quadrajet LS,2014,Tata,Diesel,Individual,Manual,Fourth & Above Owner,Budget,High,Old,0,2,2,11.736069016284437
18,110000,4,1,0,2,18,130000,Maruti Swift 1.3 VXi,2006,Maruti,Petrol,Individual,Manual,Third Owner,Budget,High,Very Old,0,2,3,11.77528972943772
7,35000,1,1,0,0,8,925000,Ford EcoSport 1.5 Diesel Titanium BSIV,2017,Ford,Diesel,Individual,Manual,First Owner,Premium,Low,Recent,2,0,1,13.737549016494562
6,60000,1,1,0,0,18,750000,Maruti Ciaz 1.3 Delta,2018,Maruti,Diesel,Individual,Manual,First Owner,Premium,Medium,Recent,2,1,1,13.527828485512494
17,54000,4,1,1,1,9,200000,Honda Civic 1.8 V AT,2007,Honda,Petrol,Individual,Automatic,Second Owner,Budget,Medium,Very Old,0,1,3,12.206072645530174
14,63000,4,1,0,1,10,248000,Hyundai i10 Sportz 1.2,2010,Hyundai,Petrol,Individual,Manual,Second Owner,Budget,Medium,Old,0,1,2,12.421184025147118
10,120000,1,1,0,1,24,450000,Skoda Rapid 1.5 TDI Elegance,2014,Skoda,Diesel,Individual,Manual,Second Owner,Mid-Range,High,Old,1,2,2,13.017002861746503
19,120000,4,1,0,2,10,80000,Hyundai Getz GLS,2005,Hyundai,Petrol,Individual,Manual,Third Owner,Budget,High,Very Old,0,2,3,11.289781913656018
10,76000,4,1,0,1,21,650000,Nissan Terrano XL,2014,Nissan,Petrol,Individual,Manual,Second Owner,Premium,Medium,Old,2,1,2,13.38472764187182
9,80000,1,1,0,0,10,450000,Hyundai Grand i10 CRDi Sportz,2015,Hyundai,Diesel,Individual,Manual,First Owner,Mid-Range,Medium,Old,1,1,2,13.017002861746503
5,25000,1,1,0,0,10,650000,Hyundai Elite i20 Diesel Era,2019,Hyundai,Diesel,Individual,Manual,First Owner,Premium,Low,Recent,2,0,1,13.38472764187182
8,11958,4,0,0,0,9,495000,Honda Amaze S i-VTEC,2016,Honda,Petrol,Dealer,Manual,First Owner,Mid-Range,Low,Old,1,0,2,13.112313041550827
9,20000,4,0,0,0,9,371000,Honda Brio S MT,2015,Honda,Petrol,Dealer,Manual,First Owner,Mid-Range,Low,Old,1,0,2,12.823957341589573
7,9000,4,0,0,0,10,1025000,Hyundai Creta 1.6 SX Option,2017,Hyundai,Petrol,Dealer,Manual,First Owner,Luxury,Low,Recent,3,0,1,13.840203170554645
7,6500,1,0,1,0,19,8150000,Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,Mercedes-Benz,Diesel,Dealer,Automatic,First Owner,Luxury,Low,Recent,3,0,1,15.913528485217045
9,70000,1,1,0,0,17,750000,Mahindra XUV500 W8 2WD,2015,Mahindra,Diesel,Individual,Manual,First Owner,Premium,Medium,Old,2,1,2,13.527828485512494
11,120000,1,1,0,0,23,600000,Renault Duster 85PS Diesel RxL Optional,2013,Renault,Diesel,Individual,Manual,First Owner,Mid-Range,High,Old,1,2,2,13.304684934198283
17,58000,4,0,0,1,10,80000,Hyundai Santro Xing XO,2007,Hyundai,Petrol,Dealer,Manual,Second Owner,Budget,Medium,Very Old,0,1,3,11.289781913656018
11,62200,1,0,0,0,17,325000,Mahindra Bolero 2011-2019 SLE,2013,Mahindra,Diesel,Dealer,Manual,First Owner,Mid-Range,Medium,Old,1,1,2,12.691580461311874
10,34000,1,0,1,1,1,1470000,Audi A6 2.0 TDI Premium Plus,2014,Audi,Diesel,Dealer,Automatic,Second Owner,Luxury,Low,Old,3,0,2,14.20077295875492
9,53000,1,1,0,1,6,350000,Fiat Avventura MULTIJET Emotion,2015,Fiat,Diesel,Individual,Manual,Second Owner,Mid-Range,Medium,Old,1,1,2,12.765688433465597
11,49000,1,0,1,0,1,2800000,Audi A8 4.2 TDI,2013,Audi,Diesel,Dealer,Automatic,First Owner,Luxury,Low,Old,3,0,2,14.845129975145433
7,15000,4,0,0,1,5,210000,Datsun RediGO 1.0 S,2017,Datsun,Petrol,Dealer,Manual,Second Owner,Budget,Low,Recent,0,0,1,12.254862809699606
11,50000,4,1,0,0,27,450000,Volkswagen Jetta 1.4 TSI Comfortline,2013,Volkswagen,Petrol,Individual,Manual,First Owner,Mid-Range,Low,Old,1,0,2,13.017002861746503
11,53000,1,0,1,0,1,1150000,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,Audi,Diesel,Dealer,Automatic,First Owner,Luxury,Medium,Old,3,1,2,13.955272500339433
15,63500,4,0,1,0,9,210000,Honda Civic 1.8 V AT,2009,Honda,Petrol,Dealer,Automatic,First Owner,Budget,Medium,Old,0,1,2,12.254862809699606
6,9800,4,0,1,0,19,4500000,Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,Mercedes-Benz,Petrol,Dealer,Automatic,First Owner,Luxury,Low,Recent,3,0,1,15.319587954740548
7,13000,1,1,1,0,2,2750000,BMW X1 sDrive 20d xLine,2017,BMW,Diesel,Individual,Automatic,First Owner,Luxury,Low,Recent,3,0,1,14.827111469642754
6,21000,1,0,1,0,28,1975000,Volvo V40 D3 R Design,2018,Volvo,Diesel,Dealer,Automatic,First Owner,Luxury,Low,Recent,3,0,1,14.496078956317358
16,29173,4,0,0,0,18,175000,Maruti SX4 Zxi BSIII,2008,Maruti,Petrol,Dealer,Manual,First Owner,Budget,Low,Very Old,0,0,3,12.072541252905651
12,48000,1,0,1,0,2,2500000,BMW 7 Series 730Ld,2012,BMW,Diesel,Dealer,Automatic,First Owner,Luxury,Low,Old,3,0,2,14.73180128983843
7,120000,1,1,0,0,17,628000,Mahindra Bolero Power Plus SLX,2017,Mahindra,Diesel,Individual,Manual,First Owner,Premium,High,Recent,2,2,1,13.350295445450335
14,100000,1,1,0,0,10,600000,Hyundai Sonata CRDi M/T,2010,Hyundai,Diesel,Individual,Manual,First Owner,Mid-Range,Medium,Old,1,1,2,13.304684934198283
7,30000,4,1,0,0,21,399000,Nissan Micra Active XV Petrol,2017,Nissan,Petrol,Individual,Manual,First Owner,Mid-Range,Low,Recent,1,0,1,12.896716695872
6,87000,1,1,0,0,17,750000,Mahindra Xylo D4,2018,Mahindra,Diesel,Individual,Manual,First Owner,Premium,Medium,Recent,2,1,1,13.527828485512494
5,15000,4,1,0,0,10,750000,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,Hyundai,Petrol,Individual,Manual,First Owner,Premium,Low,Recent,2,0,1,13.527828485512494
7,16000,4,1,0,0,23,315000,Renault KWID RXT,2017,Renault,Petrol,Individual,Manual,First Owner,Mid-Range,Low,Recent,1,0,1,12.66032791780777
12,60000,1,1,0,0,17,600000,Mahindra Xylo E4 BS III,2012,Mahindra,Diesel,Individual,Manual,First Owner,Mid-Range,Medium,Old,1,1,2,13.304684934198283
14,60000,4,1,0,3,18,100000,Maruti Wagon R LXI Minor,2010,Maruti,Petrol,Individual,Manual,Fourth & Above Owner,Budget,Medium,Old,0,1,2,11.512925464970229
13,110000,4,1,0,2,18,250000,Maruti SX4 ZXI MT BSIV,2011,Maruti,Petrol,Individual,Manual,Third Owner,Budget,High,Old,0,2,2,12.429216196844383
7,25000,4,1,0,0,23,350000,Renault KWID RXT,2017,Renault,Petrol,Individual,Manual,First Owner,Mid-Range,Low,Recent,1,0,1,12.765688433465597
8,60000,1,1,0,0,10,780000,Hyundai Creta 1.4 CRDi S,2016,Hyundai,Diesel,Individual,Manual,First Owner,Premium,Medium,Old,2,1,2,13.567049198665774
10,79350,1,1,0,1,18,434000,Maruti Swift Dzire VDI,2014,Maruti,Diesel,Individual,Manual,Second Owner,Mid-Range,Medium,Old,1,1,2,12.980799813082541
8,80000,4,1,1,0,10,690000,Hyundai Verna 1.6 VTVT AT S Option,2016,Hyundai,Petrol,Individual,Automatic,First Owner,Premium,Medium,Old,2,1,2,13.444446876573442
10,90000,1,1,0,1,17,555000,Mahindra Scorpio LX BSIV,2014,Mahindra,Diesel,Individual,Manual,Second Owner,Mid-Range,Medium,Old,1,1,2,13.226723392728571
17,90000,4,1,0,1,18,120000,Maruti SX4 Vxi BSIII,2007,Maruti,Petrol,Individual,Manual,Second Owner,Budget,Medium,Very Old,0,1,3,11.695247021764184
10,120000,1,1,0,1,18,500000,Maruti Ertiga VDI,2014,Maruti,Diesel,Individual,Manual,Second Owner,Mid-Range,High,Old,1,2,2,13.122363377404328
11,60000,1,1,0,1,3,165000,Chevrolet Beat Diesel,2013,Chevrolet,Diesel,Individual,Manual,Second Owner,Budget,Medium,Old,0,1,2,12.013700752882718
20,50000,4,1,0,0,18,95000,Maruti Zen LX,2004,Maruti,Petrol,Individual,Manual,First Owner,Budget,Low,Very Old,0,0,3,11.461632170582678
6,20000,4,1,0,0,18,550000,Maruti Baleno Delta 1.2,2018,Maruti,Petrol,Individual,Manual,First Owner,Mid-Range,Low,Recent,1,0,1,13.217673557208654
17,110000,1,1,0,3,18,100000,Maruti Swift Vdi BSIII,2007,Maruti,Diesel,Individual,Manual,Fourth & Above Owner,Budget,High,Very Old,0,2,3,11.512925464970229
12,50000,4,1,0,1,25,100000,Tata Nano Lx BSIV,2012,Tata,Petrol,Individual,Manual,Second Owner,Budget,Low,Old,0,0,2,11.512925464970229
12,100000,1,1,0,0,26,500000,Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,Toyota,Diesel,Individual,Manual,First Owner,Mid-Range,Medium,Old,1,1,2,13.122363377404328
8,70000,1,1,0,1,18,800000,Maruti Ertiga SHVS VDI,2016,Maruti,Diesel,Individual,Manual,Second Owner,Premium,Medium,Old,2,1,2,13.592367006650065
8,70000,1,1,0,1,10,840000,Hyundai Creta 1.6 CRDi SX,2016,Hyundai,Diesel,Individual,Manual,Second Owner,Premium,Medium,Old,2,1,2,13.641157170819497
8,50000,4,1,0,0,9,490000,Honda Amaze S i-Vtech,2016,Honda,Petrol,Individual,Manual,First Owner,Mid-Range,Low,Old,1,0,2,13.102160670086809
14,81000,1,1,0,1,25,125000,Tata Indica Vista Aqua 1.4 TDI,2010,Tata,Diesel,Individual,Manual,Second Owner,Budget,Medium,Old,0,1,2,11.736069016284437
12,120000,1,1,0,2,3,400000,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,Chevrolet,Diesel,Individual,Manual,Third Owner,Mid-Range,High,Old,1,2,2,12.89921982609012
9,3600,1,0,0,0,3,1000000,Chevrolet Cruze LTZ,2015,Chevrolet,Diesel,Dealer,Manual,First Owner,Premium,Low,Old,2,0,2,13.815510557964274
9,14272,4,0,0,0,8,530000,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,Ford,Petrol,Dealer,Manual,First Owner,Mid-Range,Low,Old,1,0,2,13.180632285528304
7,49213,1,0,0,0,8,840000,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,Ford,Diesel,Dealer,Manual,First Owner,Premium,Low,Recent,2,0,1,13.641157170819497
9,40000,4,1,0,0,10,229999,Hyundai i10 Sportz 1.1L,2015,Hyundai,Petrol,Individual,Manual,First Owner,Budget,Low,Old,0,0,2,12.345830240069793
26,40000,4,1,0,3,18,40000,Maruti 800 Std,1998,Maruti,Petrol,Individual,Manual,Fourth & Above Owner,Budget,Low,Very Old,0,0,3,10.596634733096073
12,80000,4,1,0,0,3,130000,Chevrolet Spark 1.0 LS,2012,Chevrolet,Petrol,Individual,Manual,First Owner,Budget,Medium,Old,0,1,2,11.77528972943772
9,70000,4,1,0,0,10,200000,Hyundai EON Era Plus,2015,Hyundai,Petrol,Individual,Manual,First Owner,Budget,Medium,Old,0,1,2,12.206072645530174
13,70000,1,1,0,0,25,120000,Tata Indica Vista Aqua TDI BSIII,2011,Tata,Diesel,Individual,Manual,First Owner,Budget,Medium,Old,0,1,2,11.695247021764184
21,57000,4,1,0,0,10,75000,Hyundai Santro LP zipPlus,2003,Hyundai,Petrol,Individual,Manual,First Owner,Budget,Medium,Very Old,0,1,3,11.225243392518447
8,120000,1,1,0,0,25,250000,Tata Bolt Quadrajet XE,2016,Tata,Diesel,Individual,Manual,First Owner,Budget,High,Old,0,2,2,12.429216196844383
19,30000,4,1,0,0,18,100000,Maruti 800 AC BSIII,2005,Maruti,Petrol,Individual,Manual,First Owner,Budget,Low,Very Old,0,0,3,11.512925464970229
11,3240,4,1,0,1,10,280000,Hyundai EON Era Plus,2013,Hyundai,Petrol,Individual,Manual,Second Owner,Budget,Low,Old,0,0,2,12.542544882151386
9,5000,4,1,0,0,10,540000,Hyundai i20 Magna 1.2,2015,Hyundai,Petrol,Individual,Manual,First Owner,Mid-Range,Low,Old,1,0,2,13.199324418540456
6,10000,4,1,0,0,10,700000,Hyundai i20 1.2 Asta,2018,Hyundai,Petrol,Individual,Manual,First Owner,Premium,Low,Recent,2,0,1,13.458835614025542
9,100000,1,1,0,0,18,525000,Maruti Ciaz VDi Plus,2015,Maruti,Diesel,Individual,Manual,First Owner,Mid-Range,Medium,Old,1,1,2,13.17115354157376
8,80000,1,1,0,0,10,430000,Hyundai i20 Asta 1.4 CRDi,2016,Hyundai,Diesel,Individual,Manual,First Owner,Mid-Range,Medium,Old,1,1,2,12.971540487669746
22,70000,4,1,0,0,10,65000,Hyundai Santro LE,2002,Hyundai,Petrol,Individual,Manual,First Owner,Budget,Medium,Very Old,0,1,3,11.082142548877775
6,35000,1,1,0,0,18,800000,Maruti Vitara Brezza VDi,2018,Maruti,Diesel,Individual,Manual,First Owner,Premium,Low,Recent,2,0,1,13.592367006650065
17,114000,4,1,0,1,10,75000,Hyundai Santro Xing XL eRLX Euro III,2007,Hyundai,Petrol,Individual,Manual,Second Owner,Budget,High,Very Old,0,2,3,11.225243392518447
16,53772,4,1,0,0,10,210000,Hyundai Getz 1.3 GLS,2008,Hyundai,Petrol,Individual,Manual,First Owner,Budget,Medium,Very Old,0,1,3,12.254862809699606
12,140000,1,1,0,1,17,195000,Mahindra Quanto C8,2012,Mahindra,Diesel,Individual,Manual,Second Owner,Budget,High,Old,0,2,2,12.180754837545884
9,120000,1,1,0,0,3,400000,Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,Chevrolet,Diesel,Individual,Manual,First Owner,Mid-Range,High,Old,1,2,2,12.89921982609012
12,60000,4,1,0,0,10,170000,Hyundai EON Magna Plus,2012,Hyundai,Petrol,Individual,Manual,First Owner,Budget,Medium,Old,0,1,2,12.043553716032399
8,25000,4,1,0,0,23,225000,Renault KWID RXT,2016,Renault,Petrol,Individual,Manual,First Owner,Budget,Low,Old,0,0,2,12.323855681186558
10,90000,3,1,0,0,18,210000,Maruti Wagon R DUO LPG,2014,Maruti,LPG,Individual,Manual,First Owner,Budget,Medium,Old,0,1,2,12.254862809699606
4,120000,4,1,0,0,18,240000,Maruti Wagon R LXI,2020,Maruti,Petrol,Individual,Manual,First Owner,Budget,High,Recent,0,2,1,12.388394202324129
9,175000,1,1,0,0,3,300000,Chevrolet Enjoy 1.3 TCDi LS 8,2015,Chevrolet,Diesel,Individual,Manual,First Owner,Budget,High,Old,0,2,2,12.611537753638338
13,100000,4,1,0,2,3,99000,Chevrolet Spark 1.0 LS,2011,Chevrolet,Petrol,Individual,Manual,Third Owner,Budget,Medium,Old,0,1,2,11.502875129116727
10,36000,4,1,0,0,9,620000,Honda City i VTEC SV,2014,Honda,Petrol,Individual,Manual,First Owner,Premium,Low,Old,2,0,2,13.337474757021274
11,30000,1,1,0,0,9,500000,Honda Amaze VX i-DTEC,2013,Honda,Diesel,Individual,Manual,First Owner,Mid-Range,Low,Old,1,0,2,13.122363377404328
14,40000,4,1,1,1,12,2550000,Jaguar XJ 5.0 L V8 Supercharged,2010,Jaguar,Petrol,Individual,Automatic,Second Owner,Luxury,Low,Old,3,0,2,14.75160391713461
11,70000,4,1,0,1,9,260000,Honda Brio E MT,2013,Honda,Petrol,Individual,Manual,Second Owner,Budget,Medium,Old,0,1,2,12.468436909997665
7,60000,4,1,0,0,18,550000,Maruti Swift VVT ZXI,2017,Maruti,Petrol,Individual,Manual,First Owner,Mid-Range,Medium,Recent,1,1,1,13.217673557208654
13,155500,1,1,0,0,25,150000,Tata Indigo CR4,2011,Tata,Diesel,Individual,Manual,First Owner,Budget,High,Old,0,2,2,11.918390573078392
