name,selling_price,car_age,km_driven,brand,fuel,transmission,owner,cluster_kmeans,cluster_dbscan,high_risk
Hyundai Grand i10 1.2 Kappa Asta,500000,5,15000,Hyundai,Petrol,Manual,First Owner,2,0,0
Maruti Alto LXi,100000,18,80000,Maruti,Petrol,Manual,First Owner,1,0,0
Maruti Swift Dzire VDI Optional,725000,7,18500,Maruti,Diesel,Manual,First Owner,0,1,0
Maruti Eeco 5 Seater AC BSIV,401000,6,10200,Maruti,Petrol,Manual,First Owner,2,0,0
Hyundai i20 Sportz 1.4 CRDi,750000,6,29000,Hyundai,Diesel,Manual,First Owner,0,1,0
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,310000,6,28000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Swift ZDi BSIV,665000,8,46000,Maruti,Diesel,Manual,First Owner,0,1,0
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,465000,10,70000,Hyundai,Diesel,Manual,First Owner,0,1,0
Maruti Alto LXi,160000,12,60000,Maruti,Petrol,Manual,Second Owner,2,3,0
Mahindra Jeep CL 500 MDI,250000,28,35000,Mahindra,Diesel,Manual,Second Owner,1,-1,0
Honda City i DTEC VX,675000,10,90000,Honda,Diesel,Manual,First Owner,0,1,0
Maruti Wagon R VXI BS IV,300000,11,80000,Maruti,Petrol,Manual,First Owner,2,0,0
Tata Indica DLS,70000,19,80000,Tata,Diesel,Manual,First Owner,1,1,0
Hyundai EON Magna Plus,240000,10,73300,Hyundai,Petrol,Manual,Second Owner,2,3,0
Toyota Etios GD,525000,10,92000,Toyota,Diesel,Manual,First Owner,0,1,0
Maruti Alto LXi,151000,15,66764,Maruti,Petrol,Manual,Second Owner,1,3,0
Maruti Alto LXi,140000,15,100000,Maruti,Petrol,Manual,First Owner,2,0,0
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,280000,14,350000,Chevrolet,Diesel,Manual,Second Owner,1,-1,0
Toyota Corolla Altis Diesel D4DG,350000,13,230000,Toyota,Diesel,Manual,First Owner,0,-1,0
Mahindra Scorpio 1.99 S6 Plus,570000,7,60000,Mahindra,Diesel,Manual,First Owner,0,1,0
Hyundai EON Magna Plus,300000,6,31000,Hyundai,Petrol,Manual,First Owner,2,0,0
Tata Indigo Classic Dicor,100000,17,39000,Tata,Diesel,Manual,First Owner,0,1,0
Toyota Innova 2.5 V Diesel 8-seater,500000,15,120000,Toyota,Diesel,Manual,Third Owner,1,7,0
Tata Indica Vista Quadrajet LS,125000,10,166000,Tata,Diesel,Manual,Fourth & Above Owner,1,-1,0
Maruti Swift 1.3 VXi,130000,18,110000,Maruti,Petrol,Manual,Third Owner,1,6,1
Ford EcoSport 1.5 Diesel Titanium BSIV,925000,7,35000,Ford,Diesel,Manual,First Owner,0,1,0
Maruti Ciaz 1.3 Delta,750000,6,60000,Maruti,Diesel,Manual,First Owner,0,1,0
Honda Civic 1.8 V AT,200000,17,54000,Honda,Petrol,Automatic,Second Owner,3,-1,0
Hyundai i10 Sportz 1.2,248000,14,63000,Hyundai,Petrol,Manual,Second Owner,1,3,0
Skoda Rapid 1.5 TDI Elegance,450000,10,120000,Skoda,Diesel,Manual,Second Owner,0,2,0
Hyundai Getz GLS,80000,19,120000,Hyundai,Petrol,Manual,Third Owner,1,6,1
Nissan Terrano XL,650000,10,76000,Nissan,Petrol,Manual,Second Owner,2,3,0
Hyundai Grand i10 CRDi Sportz,450000,9,80000,Hyundai,Diesel,Manual,First Owner,0,1,0
Hyundai Elite i20 Diesel Era,650000,5,25000,Hyundai,Diesel,Manual,First Owner,0,1,0
Honda Amaze S i-VTEC,495000,8,11958,Honda,Petrol,Manual,First Owner,2,0,0
Honda Brio S MT,371000,9,20000,Honda,Petrol,Manual,First Owner,2,0,0
Hyundai Creta 1.6 SX Option,1025000,7,9000,Hyundai,Petrol,Manual,First Owner,2,0,0
Mercedes-Benz S-Class S 350d Connoisseurs Edition,8150000,7,6500,Mercedes-Benz,Diesel,Automatic,First Owner,3,-1,0
Mahindra XUV500 W8 2WD,750000,9,70000,Mahindra,Diesel,Manual,First Owner,0,1,0
Renault Duster 85PS Diesel RxL Optional,600000,11,120000,Renault,Diesel,Manual,First Owner,0,1,0
Hyundai Santro Xing XO,80000,17,58000,Hyundai,Petrol,Manual,Second Owner,1,3,0
Mahindra Bolero 2011-2019 SLE,325000,11,62200,Mahindra,Diesel,Manual,First Owner,0,1,0
Audi A6 2.0 TDI Premium Plus,1470000,10,34000,Audi,Diesel,Automatic,Second Owner,3,-1,0
Fiat Avventura MULTIJET Emotion,350000,9,53000,Fiat,Diesel,Manual,Second Owner,0,2,0
Audi A8 4.2 TDI,2800000,11,49000,Audi,Diesel,Automatic,First Owner,3,-1,0
Datsun RediGO 1.0 S,210000,7,15000,Datsun,Petrol,Manual,Second Owner,2,3,0
Volkswagen Jetta 1.4 TSI Comfortline,450000,11,50000,Volkswagen,Petrol,Manual,First Owner,2,0,0
Audi A4 2.0 TDI 177 Bhp Premium Plus,1150000,11,53000,Audi,Diesel,Automatic,First Owner,3,4,0
Honda Civic 1.8 V AT,210000,15,63500,Honda,Petrol,Automatic,First Owner,3,19,0
Mercedes-Benz E-Class Exclusive E 200 BSIV,4500000,6,9800,Mercedes-Benz,Petrol,Automatic,First Owner,3,-1,0
BMW X1 sDrive 20d xLine,2750000,7,13000,BMW,Diesel,Automatic,First Owner,3,8,0
Volvo V40 D3 R Design,1975000,6,21000,Volvo,Diesel,Automatic,First Owner,3,-1,0
Maruti SX4 Zxi BSIII,175000,16,29173,Maruti,Petrol,Manual,First Owner,2,0,0
BMW 7 Series 730Ld,2500000,12,48000,BMW,Diesel,Automatic,First Owner,3,-1,0
Mahindra Bolero Power Plus SLX,628000,7,120000,Mahindra,Diesel,Manual,First Owner,0,1,0
Hyundai Sonata CRDi M/T,600000,14,100000,Hyundai,Diesel,Manual,First Owner,0,1,0
Nissan Micra Active XV Petrol,399000,7,30000,Nissan,Petrol,Manual,First Owner,2,0,0
Mahindra Xylo D4,750000,6,87000,Mahindra,Diesel,Manual,First Owner,0,1,0
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,750000,5,15000,Hyundai,Petrol,Manual,First Owner,2,0,0
Renault KWID RXT,315000,7,16000,Renault,Petrol,Manual,First Owner,2,0,0
Mahindra Xylo E4 BS III,600000,12,60000,Mahindra,Diesel,Manual,First Owner,0,1,0
Maruti Wagon R LXI Minor,100000,14,60000,Maruti,Petrol,Manual,Fourth & Above Owner,1,9,0
Maruti SX4 ZXI MT BSIV,250000,13,110000,Maruti,Petrol,Manual,Third Owner,1,6,0
Renault KWID RXT,350000,7,25000,Renault,Petrol,Manual,First Owner,2,0,0
Hyundai Creta 1.4 CRDi S,780000,8,60000,Hyundai,Diesel,Manual,First Owner,0,1,0
Maruti Swift Dzire VDI,434000,10,79350,Maruti,Diesel,Manual,Second Owner,0,2,0
Hyundai Verna 1.6 VTVT AT S Option,690000,8,80000,Hyundai,Petrol,Automatic,First Owner,3,-1,0
Mahindra Scorpio LX BSIV,555000,10,90000,Mahindra,Diesel,Manual,Second Owner,0,2,0
Maruti SX4 Vxi BSIII,120000,17,90000,Maruti,Petrol,Manual,Second Owner,1,3,0
Maruti Ertiga VDI,500000,10,120000,Maruti,Diesel,Manual,Second Owner,0,2,0
Chevrolet Beat Diesel,165000,11,60000,Chevrolet,Diesel,Manual,Second Owner,0,2,0
Maruti Zen LX,95000,20,50000,Maruti,Petrol,Manual,First Owner,1,0,0
Maruti Baleno Delta 1.2,550000,6,20000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Swift Vdi BSIII,100000,17,110000,Maruti,Diesel,Manual,Fourth & Above Owner,1,13,1
Tata Nano Lx BSIV,100000,12,50000,Tata,Petrol,Manual,Second Owner,2,3,0
Toyota Innova 2.5 GX (Diesel) 8 Seater,500000,12,100000,Toyota,Diesel,Manual,First Owner,0,1,0
Maruti Ertiga SHVS VDI,800000,8,70000,Maruti,Diesel,Manual,Second Owner,0,2,0
Hyundai Creta 1.6 CRDi SX,840000,8,70000,Hyundai,Diesel,Manual,Second Owner,0,2,0
Honda Amaze S i-Vtech,490000,8,50000,Honda,Petrol,Manual,First Owner,2,0,0
Tata Indica Vista Aqua 1.4 TDI,125000,14,81000,Tata,Diesel,Manual,Second Owner,1,2,0
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,400000,12,120000,Chevrolet,Diesel,Manual,Third Owner,1,7,0
Chevrolet Cruze LTZ,1000000,9,3600,Chevrolet,Diesel,Manual,First Owner,0,1,0
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,530000,9,14272,Ford,Petrol,Manual,First Owner,2,0,0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,840000,7,49213,Ford,Diesel,Manual,First Owner,0,1,0
Hyundai i10 Sportz 1.1L,229999,9,40000,Hyundai,Petrol,Manual,First Owner,2,0,0
Maruti 800 Std,40000,26,40000,Maruti,Petrol,Manual,Fourth & Above Owner,1,-1,0
Chevrolet Spark 1.0 LS,130000,12,80000,Chevrolet,Petrol,Manual,First Owner,2,0,0
Hyundai EON Era Plus,200000,9,70000,Hyundai,Petrol,Manual,First Owner,2,0,0
Tata Indica Vista Aqua TDI BSIII,120000,13,70000,Tata,Diesel,Manual,First Owner,0,1,0
Hyundai Santro LP zipPlus,75000,21,57000,Hyundai,Petrol,Manual,First Owner,1,0,0
Tata Bolt Quadrajet XE,250000,8,120000,Tata,Diesel,Manual,First Owner,0,1,0
Maruti 800 AC BSIII,100000,19,30000,Maruti,Petrol,Manual,First Owner,2,0,0
Hyundai EON Era Plus,280000,11,3240,Hyundai,Petrol,Manual,Second Owner,2,3,0
Hyundai i20 Magna 1.2,540000,9,5000,Hyundai,Petrol,Manual,First Owner,2,0,0
Hyundai i20 1.2 Asta,700000,6,10000,Hyundai,Petrol,Manual,First Owner,2,0,0
Maruti Ciaz VDi Plus,525000,9,100000,Maruti,Diesel,Manual,First Owner,0,1,0
Hyundai i20 Asta 1.4 CRDi,430000,8,80000,Hyundai,Diesel,Manual,First Owner,0,1,0
Hyundai Santro LE,65000,22,70000,Hyundai,Petrol,Manual,First Owner,1,0,0
Maruti Vitara Brezza VDi,800000,6,35000,Maruti,Diesel,Manual,First Owner,0,1,0
Hyundai Santro Xing XL eRLX Euro III,75000,17,114000,Hyundai,Petrol,Manual,Second Owner,1,3,1
Hyundai Getz 1.3 GLS,210000,16,53772,Hyundai,Petrol,Manual,First Owner,2,0,0
Mahindra Quanto C8,195000,12,140000,Mahindra,Diesel,Manual,Second Owner,1,2,0
Chevrolet Tavera Neo 3 LS 7 C BSIII,400000,9,120000,Chevrolet,Diesel,Manual,First Owner,0,1,0
Hyundai EON Magna Plus,170000,12,60000,Hyundai,Petrol,Manual,First Owner,2,0,0
Renault KWID RXT,225000,8,25000,Renault,Petrol,Manual,First Owner,2,0,0
Maruti Wagon R DUO LPG,210000,10,90000,Maruti,LPG,Manual,First Owner,2,12,0
Maruti Wagon R LXI,240000,4,120000,Maruti,Petrol,Manual,First Owner,2,-1,0
Chevrolet Enjoy 1.3 TCDi LS 8,300000,9,175000,Chevrolet,Diesel,Manual,First Owner,0,1,0
Chevrolet Spark 1.0 LS,99000,13,100000,Chevrolet,Petrol,Manual,Third Owner,1,6,0
Honda City i VTEC SV,620000,10,36000,Honda,Petrol,Manual,First Owner,2,0,0
Honda Amaze VX i-DTEC,500000,11,30000,Honda,Diesel,Manual,First Owner,0,1,0
Jaguar XJ 5.0 L V8 Supercharged,2550000,14,40000,Jaguar,Petrol,Automatic,Second Owner,3,-1,0
Honda Brio E MT,260000,11,70000,Honda,Petrol,Manual,Second Owner,2,3,0
Maruti Swift VVT ZXI,550000,7,60000,Maruti,Petrol,Manual,First Owner,2,0,0
Tata Indigo CR4,150000,13,155500,Tata,Diesel,Manual,First Owner,0,1,0
Hyundai i10 Asta AT,350000,13,50000,Hyundai,Petrol,Automatic,Second Owner,3,-1,0
Chevrolet Beat LT,320000,8,40000,Chevrolet,Petrol,Manual,First Owner,2,0,0
Maruti Swift VDI BSIV,400000,9,100000,Maruti,Diesel,Manual,Third Owner,1,7,0
Maruti Alto LXi,175000,12,80000,Maruti,Petrol,Manual,Third Owner,1,6,0
Chevrolet Beat LT,120000,13,90000,Chevrolet,Petrol,Manual,Second Owner,1,3,0
Renault Duster 110PS Diesel RxZ,320000,11,90000,Renault,Diesel,Manual,Second Owner,0,2,0
Hyundai Santro Xing XG,70000,18,110000,Hyundai,Petrol,Manual,Third Owner,1,6,1
Maruti Swift Dzire ZXI Plus,810000,5,15000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti 800 AC,95000,17,100000,Maruti,Petrol,Manual,Second Owner,1,3,0
Maruti Alto K10 LXI CNG,282000,4,40000,Maruti,CNG,Manual,First Owner,0,-1,0
Maruti 800 Std BSII,80000,20,60000,Maruti,Petrol,Manual,Second Owner,1,3,0
Tata Nano LX SE,72000,11,25000,Tata,Petrol,Manual,First Owner,2,0,0
Hyundai i20 Magna 1.2,600000,8,25000,Hyundai,Petrol,Manual,First Owner,2,0,0
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,640000,9,23000,Skoda,Petrol,Manual,First Owner,2,0,0
Maruti Alto K10 VXI,380000,6,22155,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Ciaz 1.4 Delta,650000,6,70000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Alto LX,150000,15,60000,Maruti,Petrol,Manual,Second Owner,1,3,0
Hyundai i20 Asta,280000,15,110000,Hyundai,Petrol,Manual,Second Owner,1,3,0
Tata Nexon 1.2 Revotron XM,430000,6,30000,Tata,Petrol,Manual,First Owner,2,0,0
Mahindra Bolero Power Plus SLX,800000,5,15000,Mahindra,Diesel,Manual,First Owner,0,1,0
Maruti Zen D,75000,21,100000,Maruti,Diesel,Manual,Second Owner,1,2,0
Volkswagen Vento Celeste 1.5 TDI Highline AT,650000,8,70000,Volkswagen,Diesel,Automatic,First Owner,3,10,0
Maruti Eeco 7 Seater Standard BSIV,390000,7,24000,Maruti,Petrol,Manual,First Owner,2,0,0
Honda City 1.5 EXI,100000,19,120000,Honda,Petrol,Manual,Second Owner,1,3,1
Mercedes-Benz New C-Class 220 CDI AT,1500000,11,35000,Mercedes-Benz,Diesel,Automatic,First Owner,3,4,0
Maruti SX4 Zxi with Leather BSIII,175000,17,78380,Maruti,Petrol,Manual,First Owner,2,0,0
Renault Duster 110PS Diesel RxZ,434999,12,110000,Renault,Diesel,Manual,Second Owner,0,2,0
Ford Figo Diesel Titanium,170000,14,90000,Ford,Diesel,Manual,Third Owner,1,7,0
Ford Figo Diesel Titanium,190000,13,90000,Ford,Diesel,Manual,Third Owner,1,7,0
Maruti Swift Dzire VDi,250000,15,150000,Maruti,Diesel,Manual,Third Owner,1,7,0
Mahindra Xylo E4,229999,15,230000,Mahindra,Diesel,Manual,Third Owner,1,-1,0
Maruti Esteem Vxi - BSIII,140000,18,70000,Maruti,Petrol,Manual,Third Owner,1,6,0
Maruti Swift VDI BSIV,600000,7,80362,Maruti,Diesel,Manual,First Owner,0,1,0
Hyundai i20 1.2 Sportz,280000,12,110000,Hyundai,Petrol,Manual,Third Owner,1,6,0
Chevrolet Beat Diesel LT,150000,12,60000,Chevrolet,Diesel,Manual,First Owner,0,1,0
Chevrolet Cruze LTZ AT,650000,9,50000,Chevrolet,Diesel,Automatic,First Owner,3,10,0
Nissan Micra XL,210000,10,40000,Nissan,Petrol,Manual,Second Owner,2,3,0
BMW 5 Series 520d Luxury Line,2900000,7,40000,BMW,Diesel,Automatic,First Owner,3,8,0
Chevrolet Enjoy 1.3 TCDi LS 8,425000,11,20000,Chevrolet,Diesel,Manual,First Owner,0,1,0
Hyundai EON Era Plus Option,265000,10,55000,Hyundai,Petrol,Manual,First Owner,2,0,0
Fiat Linea T Jet Emotion,890000,6,1136,Fiat,Petrol,Manual,First Owner,2,0,0
Renault Scala RxL,365000,11,55000,Renault,Petrol,Manual,First Owner,2,0,0
Ford Figo Petrol Titanium,350000,10,43000,Ford,Petrol,Manual,First Owner,2,0,0
Maruti Ciaz ZDi SHVS,685000,8,60000,Maruti,Diesel,Manual,First Owner,0,1,0
Skoda Rapid 1.5 TDI Ambition BSIV,940000,6,2650,Skoda,Diesel,Manual,First Owner,0,1,0
Mahindra XUV500 W6 2WD,1000000,7,40000,Mahindra,Diesel,Manual,First Owner,0,1,0
Mahindra XUV300 W8 Option,1150000,5,15000,Mahindra,Petrol,Manual,First Owner,2,0,0
Maruti Ertiga SHVS ZDI,450000,8,115962,Maruti,Diesel,Manual,Second Owner,0,2,0
Nissan Terrano XE D,590000,9,65000,Nissan,Diesel,Manual,First Owner,0,1,0
Maruti S-Cross Facelift,800000,7,40000,Maruti,Diesel,Manual,First Owner,0,1,0
Hyundai i20 Magna 1.4 CRDi (Diesel),385000,12,58000,Hyundai,Diesel,Manual,First Owner,0,1,0
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2000000,11,15000,Mercedes-Benz,Diesel,Automatic,First Owner,3,-1,0
Hyundai EON Era Plus,235000,12,54000,Hyundai,Petrol,Manual,First Owner,2,0,0
Volkswagen Ameo 1.5 TDI Highline,640000,7,56000,Volkswagen,Diesel,Manual,First Owner,0,1,0
Maruti Alto LX,52000,18,120000,Maruti,Petrol,Manual,Third Owner,1,6,1
Maruti Omni LPG CARGO BSIII W IMMOBILISER,80000,15,90000,Maruti,LPG,Manual,Second Owner,1,-1,0
Maruti Alto LX,140000,12,70000,Maruti,Petrol,Manual,Second Owner,1,3,0
Hyundai Verna i (Petrol),120000,16,90000,Hyundai,Petrol,Manual,Second Owner,1,3,0
Mahindra Renault Logan 1.5 DLS,89999,16,213000,Mahindra,Diesel,Manual,First Owner,1,-1,1
Chevrolet Optra Magnum 2.0 LS BSIII,180000,12,120000,Chevrolet,Diesel,Manual,First Owner,0,1,0
Mahindra Scorpio S11 BSIV,1500000,7,20000,Mahindra,Diesel,Manual,First Owner,0,1,0
Hyundai i20 Active 1.2 SX,700000,7,10000,Hyundai,Petrol,Manual,First Owner,2,0,0
Maruti SX4 Celebration Diesel,285000,12,80000,Maruti,Diesel,Manual,Second Owner,0,2,0
Hyundai Grand i10 Magna,390000,9,90000,Hyundai,Petrol,Manual,First Owner,2,0,0
Maruti Alto LXi BSIII,125000,16,80000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti SX4 Zxi with Leather BSIII,225000,16,60000,Maruti,Petrol,Manual,Second Owner,1,3,0
Hyundai i10 Era,175000,13,139000,Hyundai,Petrol,Manual,Second Owner,1,3,0
Toyota Innova 2.5 V Diesel 7-seater,1075000,13,160000,Toyota,Diesel,Manual,Second Owner,0,-1,0
Honda Mobilio V i DTEC,300000,10,150000,Honda,Diesel,Manual,First Owner,0,1,0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000,14,163000,Toyota,Diesel,Manual,Fourth & Above Owner,1,-1,0
Tata Indica V2 2001-2011 DLS BSIII,90000,15,120000,Tata,Diesel,Manual,First Owner,0,1,0
Tata Indica Vista TDI LS,120000,13,120000,Tata,Diesel,Manual,Second Owner,1,2,0
Chevrolet Beat Diesel LS,220000,12,100000,Chevrolet,Diesel,Manual,Second Owner,0,2,0
Tata Zest Quadrajet 1.3 75PS XE,300000,9,140000,Tata,Diesel,Manual,First Owner,0,1,0
Skoda Fabia 1.2L Diesel Ambiente,180000,14,87000,Skoda,Diesel,Manual,Second Owner,1,2,0
Maruti 800 Std,170000,11,70000,Maruti,Petrol,Manual,First Owner,2,0,0
Ford Figo Petrol Titanium,300000,9,50000,Ford,Petrol,Manual,Second Owner,2,3,0
Toyota Innova 2.5 VX (Diesel) 8 Seater,1050000,10,70000,Toyota,Diesel,Manual,First Owner,0,1,0
Hyundai Grand i10 1.2 CRDi Asta,465000,6,25000,Hyundai,Diesel,Manual,First Owner,0,1,0
Chevrolet Beat Diesel LT,130000,13,80000,Chevrolet,Diesel,Manual,Second Owner,0,2,0
Datsun GO Plus T Option Petrol,434999,6,10000,Datsun,Petrol,Manual,First Owner,2,0,0
Hyundai Grand i10 1.2 Kappa Asta,500000,6,32000,Hyundai,Petrol,Manual,First Owner,2,0,0
Maruti Omni MPI STD BSIV,200000,6,10000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Baleno Alpha 1.2,625000,7,52000,Maruti,Petrol,Manual,First Owner,2,0,0
Ford Fiesta Classic 1.4 SXI Duratorq,110000,18,120000,Ford,Diesel,Manual,Third Owner,1,7,1
Hyundai Elite i20 Asta Option BSIV,800000,5,11240,Hyundai,Petrol,Manual,First Owner,2,0,0
Hyundai Grand i10 CRDi Magna,490000,7,66000,Hyundai,Diesel,Manual,First Owner,0,1,0
Maruti Ertiga SHVS ZDI,880000,7,64000,Maruti,Diesel,Manual,First Owner,0,1,0
Hyundai Santro Xing GL Plus,290000,11,49000,Hyundai,Petrol,Manual,First Owner,2,0,0
Tata Sumo GX TC 7 Str BSIII,115999,18,100000,Tata,Diesel,Manual,Second Owner,1,2,0
Renault KWID RXT,360000,6,26500,Renault,Petrol,Manual,First Owner,2,0,0
Maruti 800 AC,65000,22,100000,Maruti,Petrol,Manual,Second Owner,1,3,0
Maruti Vitara Brezza LDi Option,685000,7,72000,Maruti,Diesel,Manual,First Owner,0,1,0
Honda Jazz S,300000,15,50000,Honda,Petrol,Manual,First Owner,2,0,0
Hyundai i20 1.4 Sportz,680000,7,44000,Hyundai,Diesel,Manual,First Owner,0,1,0
Maruti Ertiga SHVS ZDI Plus,1000000,7,60000,Maruti,Diesel,Manual,Second Owner,0,2,0
Tata Sumo SE Plus BSIII,100000,22,120000,Tata,Diesel,Manual,First Owner,1,-1,1
Mahindra Xylo E4,160000,14,130000,Mahindra,Diesel,Manual,First Owner,0,1,0
Maruti Swift ZDi BSIV,450000,7,70000,Maruti,Diesel,Manual,First Owner,0,1,0
Maruti Ertiga VXI,600000,10,20000,Maruti,Petrol,Manual,First Owner,2,0,0
Hyundai i20 1.4 Magna ABS,180000,15,60000,Hyundai,Diesel,Manual,Second Owner,1,2,0
Maruti Alto LXi,100000,17,195000,Maruti,Petrol,Manual,First Owner,1,-1,1
Maruti Alto LXi,120000,14,90000,Maruti,Petrol,Manual,Second Owner,1,3,0
Hyundai Getz GL,130000,18,80000,Hyundai,Petrol,Manual,Third Owner,1,6,0
Maruti Wagon R LX BS IV,160000,13,155000,Maruti,Petrol,Manual,First Owner,1,-1,0
Mahindra Bolero Power Plus SLX,860000,5,35000,Mahindra,Diesel,Manual,First Owner,0,1,0
Hyundai i20 1.2 Spotz,650000,6,20000,Hyundai,Petrol,Manual,Second Owner,2,3,0
Maruti Wagon R LXI Minor,100000,14,80000,Maruti,Petrol,Manual,Second Owner,1,3,0
Maruti Alto 800 VXI,282000,7,20000,Maruti,Petrol,Manual,First Owner,2,0,0
Hyundai i20 Asta (o),300000,15,50000,Hyundai,Petrol,Manual,First Owner,2,0,0
Hyundai i20 Asta,270000,14,110000,Hyundai,Petrol,Manual,Second Owner,1,3,0
Hyundai Verna 1.6 SX CRDi (O),550000,11,29000,Hyundai,Diesel,Manual,First Owner,0,1,0
Mahindra Xylo D2 BSIV,450000,11,120000,Mahindra,Diesel,Manual,First Owner,0,1,0
Mahindra Bolero SLX 2WD BSIII,430000,13,70000,Mahindra,Diesel,Manual,Second Owner,0,2,0
Maruti Ertiga VXI ABS,350000,11,40000,Maruti,Petrol,Manual,First Owner,2,0,0
