car_age,km_driven,fuel_encoded,seller_type_encoded,transmission_encoded,owner_encoded,brand_encoded,selling_price,log_price
8,120000,1,1,0,0,25,250000,12.429216196844383
19,30000,4,1,0,0,18,100000,11.512925464970229
11,3240,4,1,0,1,10,280000,12.542544882151386
9,5000,4,1,0,0,10,540000,13.199324418540456
6,10000,4,1,0,0,10,700000,13.458835614025542
9,100000,1,1,0,0,18,525000,13.17115354157376
8,80000,1,1,0,0,10,430000,12.971540487669746
22,70000,4,1,0,0,10,65000,11.082142548877775
6,35000,1,1,0,0,18,800000,13.592367006650065
17,114000,4,1,0,1,10,75000,11.225243392518447
16,53772,4,1,0,0,10,210000,12.254862809699606
12,140000,1,1,0,1,17,195000,12.180754837545884
9,120000,1,1,0,0,3,400000,12.89921982609012
12,60000,4,1,0,0,10,170000,12.043553716032399
8,25000,4,1,0,0,23,225000,12.323855681186558
10,90000,3,1,0,0,18,210000,12.254862809699606
4,120000,4,1,0,0,18,240000,12.388394202324129
9,175000,1,1,0,0,3,300000,12.611537753638338
13,100000,4,1,0,2,3,99000,11.502875129116727
10,36000,4,1,0,0,9,620000,13.337474757021274
11,30000,1,1,0,0,9,500000,13.122363377404328
14,40000,4,1,1,1,12,2550000,14.75160391713461
11,70000,4,1,0,1,9,260000,12.468436909997665
7,60000,4,1,0,0,18,550000,13.217673557208654
13,155500,1,1,0,0,25,150000,11.918390573078392
13,50000,4,1,1,1,10,350000,12.765688433465597
8,40000,4,1,0,0,3,320000,12.676076274775909
9,100000,1,1,0,2,18,400000,12.89921982609012
12,80000,4,1,0,2,18,175000,12.072541252905651
13,90000,4,1,0,1,3,120000,11.695247021764184
11,90000,1,1,0,1,23,320000,12.676076274775909
18,110000,4,1,0,2,10,70000,11.156250521031495
5,15000,4,1,0,0,18,810000,13.604789526648622
17,100000,4,1,0,1,18,95000,11.461632170582678
4,40000,0,1,0,0,18,282000,12.54966234992025
20,60000,4,1,0,1,18,80000,11.289781913656018
11,25000,4,1,0,0,25,72000,11.184421397998193
8,25000,4,1,0,0,10,600000,13.304684934198283
9,23000,4,1,0,0,24,640000,13.369223455335854
6,22155,4,1,0,0,18,380000,12.84792653170257
6,70000,4,1,0,0,18,650000,13.38472764187182
15,60000,4,1,0,1,18,150000,11.918390573078392
15,110000,4,1,0,1,10,280000,12.542544882151386
6,30000,4,1,0,0,25,430000,12.971540487669746
5,15000,1,1,0,0,17,800000,13.592367006650065
21,100000,1,1,0,1,18,75000,11.225243392518447
8,70000,1,1,1,0,27,650000,13.38472764187182
7,24000,4,1,0,0,18,390000,12.873902018105829
19,120000,4,1,0,1,9,100000,11.512925464970229
11,35000,1,1,1,0,19,1500000,14.22097566607244
17,78380,4,1,0,0,18,175000,12.072541252905651
12,110000,1,1,0,1,23,434999,12.983099011217604
14,90000,1,1,0,2,8,170000,12.043553716032399
13,90000,1,1,0,2,8,190000,12.154779351142624
15,150000,1,1,0,2,18,250000,12.429216196844383
15,230000,1,1,0,2,17,229999,12.345830240069793
18,70000,4,1,0,2,18,140000,11.84939770159144
7,80362,1,1,0,0,18,600000,13.304684934198283
12,110000,4,1,0,2,10,280000,12.542544882151386
12,60000,1,1,0,0,3,150000,11.918390573078392
9,50000,1,1,1,0,3,650000,13.38472764187182
10,40000,4,1,0,1,21,210000,12.254862809699606
7,40000,1,1,1,0,2,2900000,14.880221294956703
11,20000,1,0,0,0,3,425000,12.959844447906553
10,55000,4,0,0,0,10,265000,12.487485104968359
6,1136,4,0,0,0,6,890000,13.698976741708323
11,55000,4,0,0,0,23,365000,12.80765263256463
10,43000,4,0,0,0,8,350000,12.765688433465597
8,60000,1,1,0,0,18,685000,13.437174117244362
6,2650,1,0,0,0,24,940000,13.753635154246187
7,40000,1,1,0,0,17,1000000,13.815510557964274
5,15000,4,0,0,0,17,1150000,13.955272500339433
8,115962,1,1,0,1,18,450000,13.017002861746503
9,65000,1,0,0,0,21,590000,13.287877815881902
7,40000,1,1,0,0,18,800000,13.592367006650065
12,58000,1,0,0,0,10,385000,12.86099861326992
11,15000,1,1,1,0,19,2000000,14.508657738524219
12,54000,4,0,0,0,10,235000,12.367340793126296
7,56000,1,0,0,0,27,640000,13.369223455335854
18,120000,4,1,0,2,18,52000,10.858998997563564
15,90000,3,1,0,1,18,80000,11.289781913656018
12,70000,4,1,0,1,18,140000,11.84939770159144
16,90000,4,1,0,1,10,120000,11.695247021764184
16,213000,1,1,0,0,17,89999,11.407553838139561
12,120000,1,1,0,0,3,180000,12.100712129872347
7,20000,1,1,0,0,17,1500000,14.22097566607244
7,10000,4,1,0,0,10,700000,13.458835614025542
12,80000,1,1,0,1,18,285000,12.560244459250788
9,90000,4,1,0,0,10,390000,12.873902018105829
16,80000,4,1,0,0,18,125000,11.736069016284437
16,60000,4,1,0,1,18,225000,12.323855681186558
13,139000,4,1,0,1,10,175000,12.072541252905651
13,160000,1,1,0,1,26,1075000,13.8878312195439
10,150000,1,1,0,0,9,300000,12.611537753638338
14,163000,1,1,0,3,26,700000,13.458835614025542
15,120000,1,0,0,0,25,90000,11.407564949312402
13,120000,1,1,0,1,25,120000,11.695247021764184
12,100000,1,1,0,1,3,220000,12.301382825334498
9,140000,1,0,0,0,25,300000,12.611537753638338
14,87000,1,0,0,1,24,180000,12.100712129872347
11,70000,4,1,0,0,18,170000,12.043553716032399
9,50000,4,1,0,1,8,300000,12.611537753638338
10,70000,1,1,0,0,26,1050000,13.864300722133706
6,25000,1,1,0,0,10,465000,13.049792684569493
13,80000,1,1,0,1,3,130000,11.77528972943772
6,10000,4,1,0,0,5,434999,12.983099011217604
6,32000,4,1,0,0,10,500000,13.122363377404328
6,10000,4,1,0,0,18,200000,12.206072645530174
7,52000,4,0,0,0,18,625000,13.345506928718539
18,120000,1,1,0,2,8,110000,11.608235644774552
5,11240,4,1,0,0,10,800000,13.592367006650065
7,66000,1,0,0,0,10,490000,13.102160670086809
7,64000,1,0,0,0,18,880000,13.687677186454389
11,49000,4,1,0,0,10,290000,12.577636201962656
18,100000,1,1,0,1,25,115999,11.661336849361689
6,26500,4,1,0,0,23,360000,12.793859310432293
22,100000,4,1,0,1,18,65000,11.082142548877775
7,72000,1,0,0,0,18,685000,13.437174117244362
15,50000,4,1,0,0,9,300000,12.611537753638338
7,44000,1,0,0,0,10,680000,13.42984807715229
7,60000,1,1,0,1,18,1000000,13.815510557964274
22,120000,1,1,0,0,25,100000,11.512925464970229
14,130000,1,1,0,0,17,160000,11.982929094215963
7,70000,1,1,0,0,18,450000,13.017002861746503
10,20000,4,1,0,0,18,600000,13.304684934198283
15,60000,1,1,0,1,10,180000,12.100712129872347
17,195000,4,1,0,0,18,100000,11.512925464970229
14,90000,4,1,0,1,18,120000,11.695247021764184
18,80000,4,1,0,2,10,130000,11.77528972943772
13,155000,4,1,0,0,18,160000,11.982929094215963
5,35000,1,1,0,0,17,860000,13.664687668229691
6,20000,4,1,0,1,10,650000,13.38472764187182
14,80000,4,1,0,1,18,100000,11.512925464970229
7,20000,4,1,0,0,18,282000,12.54966234992025
15,50000,4,1,0,0,10,300000,12.611537753638338
14,110000,4,1,0,1,10,270000,12.506177237980511
11,29000,1,1,0,0,10,550000,13.217673557208654
11,120000,1,1,0,0,17,450000,13.017002861746503
13,70000,1,1,0,1,17,430000,12.971540487669746
11,40000,4,1,0,0,18,350000,12.765688433465597
7,20000,4,1,0,0,9,350000,12.765688433465597
11,50000,4,1,0,1,26,229999,12.345830240069793
11,50000,4,1,0,0,18,110000,11.608235644774552
12,49000,4,1,0,1,18,395000,12.886641043883259
13,70000,1,1,1,1,17,650000,13.38472764187182
13,90000,1,1,0,1,17,350000,12.765688433465597
4,25000,1,0,0,0,17,1400000,14.151982794585487
6,4000,4,1,0,0,25,360000,12.793859310432293
6,10000,1,1,0,0,17,1300000,14.077874822431765
9,15000,1,1,0,0,23,800000,13.592367006650065
6,30000,4,1,0,0,10,229999,12.345830240069793
10,41000,4,0,0,0,18,315000,12.66032791780777
12,28000,4,1,0,0,3,125000,11.736069016284437
5,16000,4,1,0,0,18,700000,13.458835614025542
9,70000,4,1,0,0,10,160000,11.982929094215963
7,10832,4,0,0,0,8,530000,13.180632285528304
6,14681,1,0,0,0,8,624000,13.343905647351566
15,50000,4,1,0,0,10,250000,12.429216196844383
8,51000,1,0,0,0,17,585000,13.279367126213993
9,25000,4,1,0,0,10,500000,13.122363377404328
10,30000,4,1,0,0,3,350000,12.765688433465597
10,80000,1,0,0,0,9,495000,13.112313041550827
7,50000,4,1,0,0,10,500000,13.122363377404328
9,200000,1,1,0,0,17,430000,12.971540487669746
11,44000,4,0,0,0,10,345000,12.751299696013497
9,10000,4,1,0,0,18,500000,13.122363377404328
5,19600,4,1,0,0,25,425000,12.959844447906553
19,40000,4,1,0,1,18,80000,11.289781913656018
13,50000,1,1,0,0,3,106000,11.571194373094205
15,46730,4,1,0,0,18,180000,12.100712129872347
9,40000,4,1,0,1,5,250000,12.429216196844383
13,80000,1,1,0,0,24,350000,12.765688433465597
22,80000,4,1,0,1,18,60000,11.002099841204238
6,24000,1,1,0,0,10,900000,13.710150042306449
7,21170,1,0,0,0,8,700000,13.458835614025542
11,167223,1,0,1,0,2,2000000,14.508657738524219
7,40000,1,1,0,0,18,1000000,13.815510557964274
13,60000,1,1,1,0,2,1375000,14.133964289082808
8,141440,1,0,0,0,26,1800000,14.403297222866392
17,120000,1,1,0,2,3,160000,11.982929094215963
12,140000,4,1,1,0,20,525000,13.17115354157376
12,212814,1,0,0,0,17,850000,13.652991628466498
5,30000,1,1,0,0,18,800000,13.592367006650065
7,88635,1,0,0,0,8,700000,13.458835614025542
6,25000,1,1,0,0,18,800000,13.592367006650065
7,20000,4,1,0,1,10,575000,13.262125319779487
12,110000,1,1,0,1,23,350000,12.765688433465597
16,120000,1,1,0,2,18,250000,12.429216196844383
13,149674,1,0,0,1,8,600000,13.304684934198283
17,100000,1,1,0,2,17,370000,12.821258284620408
18,120000,4,1,0,2,18,80000,11.289781913656018
21,120000,1,1,0,1,25,50000,10.819778284410283
6,25000,1,1,0,0,10,900000,13.710150042306449
10,35000,4,1,0,1,18,300000,12.611537753638338
22,40000,4,1,0,0,25,125000,11.736069016284437
9,60000,1,1,0,1,18,490000,13.102160670086809
12,50000,1,1,0,1,26,300000,12.611537753638338
11,25000,4,1,0,3,25,55000,10.915088464214607
8,25000,4,1,0,0,10,350000,12.765688433465597
5,8000,1,1,0,0,10,755000,13.534473028231162
7,60000,1,1,0,0,18,720000,13.487006490992238
18,200000,1,1,0,2,17,229999,12.345830240069793
6,20000,1,1,0,0,17,1100000,13.9108207377686
11,100000,4,1,0,0,27,400000,12.89921982609012
9,70000,1,1,0,1,10,350000,12.765688433465597
12,68000,1,0,0,0,3,159000,11.976659481202368
7,38000,4,0,0,0,18,550000,13.217673557208654
11,80000,1,0,0,0,18,335000,12.721885810807203
10,72000,0,0,0,0,25,185000,12.128111104060462
12,75000,0,0,0,0,18,229999,12.345830240069793
10,43000,4,0,0,0,18,225000,12.323855681186558
17,120000,4,1,0,1,18,250000,12.429216196844383
9,100000,1,1,0,0,25,400000,12.89921982609012
10,163000,1,1,0,0,18,470000,13.060487973686241
6,25000,4,1,1,0,18,300000,12.611537753638338
13,25000,4,1,0,0,18,145000,11.884489021402711
17,90000,4,1,0,1,18,100000,11.512925464970229
10,70000,1,1,0,1,17,500000,13.122363377404328
14,98000,0,1,0,1,10,130000,11.77528972943772
14,81925,1,1,0,0,3,240000,12.388394202324129
11,80000,1,1,0,1,8,150000,11.918390573078392
7,40000,4,1,0,0,23,270000,12.506177237980511
10,90000,1,1,0,0,18,400000,12.89921982609012
12,46000,4,1,0,0,10,200000,12.206072645530174
12,80000,1,1,0,0,17,550000,13.217673557208654
6,35000,4,1,0,0,23,325000,12.691580461311874
7,82080,1,1,1,0,24,860000,13.664687668229691
12,200000,1,1,0,0,17,600000,13.304684934198283
15,70000,4,1,0,0,3,125000,11.736069016284437
24,40000,4,1,0,2,18,60000,11.002099841204238
14,120000,1,1,0,2,3,300000,12.611537753638338
17,60000,4,1,0,2,8,190000,12.154779351142624
11,110000,1,1,0,0,18,400000,12.89921982609012
13,97000,1,1,0,1,25,260000,12.468436909997665
7,30000,4,1,0,0,18,400000,12.89921982609012
14,40000,4,1,0,0,10,250000,12.429216196844383
5,10000,4,1,0,0,10,600000,13.304684934198283
14,52047,4,1,0,0,18,175000,12.072541252905651
13,200000,1,1,0,2,26,450000,13.017002861746503
5,15000,4,1,1,1,25,350000,12.765688433465597
6,50000,1,1,0,0,18,800000,13.592367006650065
13,70000,4,1,0,1,18,250000,12.429216196844383
5,10000,4,1,0,0,18,600000,13.304684934198283
7,90000,1,1,0,0,18,600000,13.304684934198283
8,40000,4,1,0,0,18,130000,11.77528972943772
18,62009,4,1,0,1,18,90000,11.407564949312402
7,33100,4,1,0,1,10,595000,13.296316684527767
10,40000,4,1,0,1,10,190000,12.154779351142624
25,120000,4,1,0,1,10,50000,10.819778284410283
17,80000,4,1,0,0,18,95000,11.461632170582678
8,70000,1,1,0,0,25,1000000,13.815510557964274
18,220000,4,1,0,1,17,220000,12.301382825334498
14,50000,1,1,0,0,17,400000,12.89921982609012
9,45000,4,1,0,1,5,315000,12.66032791780777
10,110000,1,1,0,0,26,1000000,13.815510557964274
10,49000,1,1,0,0,8,500000,13.122363377404328
6,35000,1,1,1,0,17,1600000,14.28551418721001
7,160000,1,1,0,0,17,500000,13.122363377404328
17,180000,4,1,0,2,18,70000,11.156250521031495
17,60000,4,1,0,1,18,105000,11.56171562913966
16,110000,1,1,0,2,8,400000,12.89921982609012
20,60000,4,1,0,2,18,80000,11.289781913656018
8,30000,4,1,0,0,18,300000,12.611537753638338
7,40000,1,1,0,0,17,409999,12.923909999653127
15,70000,4,1,0,0,18,250000,12.429216196844383
14,120000,1,1,0,1,25,250000,12.429216196844383
12,80000,1,1,0,2,18,215000,12.2783933071098
9,120000,1,1,0,0,26,1400000,14.151982794585487
6,20000,4,1,0,0,9,475000,13.071070083016778
6,22000,4,1,0,0,9,475000,13.071070083016778
16,35000,4,1,0,1,3,75000,11.225243392518447
11,120000,1,1,0,1,3,200000,12.206072645530174
5,8000,4,1,0,0,25,575000,13.262125319779487
13,40000,1,1,0,1,18,150000,11.918390573078392
6,10000,1,1,0,0,18,850000,13.652991628466498
5,30000,4,1,0,0,10,350000,12.765688433465597
13,54000,1,1,0,1,8,550000,13.217673557208654
7,80577,4,1,0,0,10,330000,12.706847933442663
7,25000,1,1,0,0,9,1044999,13.85952648644279
13,127500,1,1,0,1,10,300000,12.611537753638338
9,40903,4,0,0,0,10,235000,12.367340793126296
13,60000,4,1,0,2,8,120000,11.695247021764184
20,46000,4,1,0,0,18,130000,11.77528972943772
20,22288,1,0,0,1,8,275000,12.524526376648708
13,180000,1,1,0,1,27,270000,12.506177237980511
9,30000,1,1,0,1,27,500000,13.122363377404328
9,61690,4,0,0,0,10,400000,12.89921982609012
9,64484,4,0,0,0,10,600000,13.304684934198283
12,90000,1,1,1,1,1,1350000,14.115615150414612
11,75976,1,0,0,1,23,400000,12.89921982609012
13,70000,1,1,0,1,8,220000,12.301382825334498
12,85962,4,0,0,1,9,300000,12.611537753638338
6,120000,4,1,0,0,18,250000,12.429216196844383
9,120000,1,1,0,0,9,600000,13.304684934198283
12,75000,4,1,1,1,9,285000,12.560244459250788
15,57035,4,0,0,0,9,350000,12.765688433465597
13,70000,1,1,0,2,17,170000,12.043553716032399
9,45000,4,1,0,0,8,229999,12.345830240069793
11,72104,1,0,0,1,17,500000,13.122363377404328
13,15000,4,1,0,0,25,75000,11.225243392518447
8,30000,4,1,0,0,10,600000,13.304684934198283
13,80000,1,1,0,0,25,220000,12.301382825334498
15,164000,1,1,0,1,25,150000,11.918390573078392
18,124439,4,1,0,1,18,65000,11.082142548877775
18,77000,4,1,0,1,18,120000,11.695247021764184
10,90000,1,1,0,0,18,240000,12.388394202324129
7,30000,4,1,0,0,23,390000,12.873902018105829
12,50000,4,1,0,0,3,180000,12.100712129872347
12,80000,1,1,0,1,18,320000,12.676076274775909
6,5000,4,1,0,0,18,310000,12.644327576461329
6,24000,4,1,1,0,18,420000,12.948009990259552
5,10000,4,1,0,0,25,550000,13.217673557208654
8,78000,1,1,0,2,18,550000,13.217673557208654
6,50000,1,1,0,0,17,760000,13.541073712262515
23,100000,4,1,0,1,18,43000,10.668955394675699
6,20000,4,1,0,0,18,250000,12.429216196844383
5,1250,4,1,0,0,10,500000,13.122363377404328
9,17152,4,1,0,0,25,380000,12.84792653170257
5,5000,1,1,1,0,17,1850000,14.430696197054507
12,77000,1,1,0,0,27,350000,12.765688433465597
16,90000,1,1,0,1,10,195000,12.180754837545884
13,80000,4,1,0,1,3,225000,12.323855681186558
9,65000,1,1,0,0,26,1125000,13.933293593620657
13,80000,1,1,0,0,25,133000,11.79810440720389
11,24005,4,1,0,0,10,200000,12.206072645530174
6,20000,1,1,0,0,18,940000,13.753635154246187
10,120000,1,1,0,0,23,400000,12.89921982609012
15,120000,4,1,0,1,10,120000,11.695247021764184
9,80000,1,1,0,0,18,625000,13.345506928718539
19,80000,4,1,0,0,18,110000,11.608235644774552
12,100000,1,1,0,0,23,490000,13.102160670086809
15,120000,4,1,0,1,18,140000,11.84939770159144
13,149000,1,1,0,1,8,175000,12.072541252905651
19,65000,4,1,0,1,18,90000,11.407564949312402
15,100000,1,1,0,1,18,275000,12.524526376648708
13,65000,1,1,0,1,27,300000,12.611537753638338
6,19000,4,1,0,1,5,270000,12.506177237980511
14,80000,4,1,0,1,3,130000,11.77528972943772
9,30000,4,1,0,0,18,275000,12.524526376648708
12,109000,1,1,0,0,18,352000,12.771386454580234
12,90000,3,1,0,0,10,180000,12.100712129872347
12,90000,4,1,0,0,18,150000,11.918390573078392
14,110000,1,1,0,1,18,300000,12.611537753638338
17,120000,1,1,0,0,17,225000,12.323855681186558
10,44000,1,1,0,0,9,600000,13.304684934198283
9,80000,4,1,0,0,18,500000,13.122363377404328
6,5000,4,1,0,0,9,900000,13.710150042306449
8,61000,4,1,0,0,10,600000,13.304684934198283
13,100000,1,1,0,1,26,450000,13.017002861746503
15,27633,4,1,0,0,10,270000,12.506177237980511
14,100000,1,1,0,2,18,310000,12.644327576461329
12,100000,3,1,0,0,10,250000,12.429216196844383
5,12586,4,0,0,0,8,700000,13.458835614025542
6,38083,1,0,0,0,6,650000,13.38472764187182
12,55328,1,0,0,0,8,400000,12.89921982609012
12,81632,1,0,0,0,8,425000,12.959844447906553
8,155201,1,0,0,0,8,600000,13.304684934198283
11,93283,1,0,0,0,8,600000,13.304684934198283
15,217871,1,0,0,0,18,300000,12.611537753638338
12,90165,1,0,0,0,8,450000,13.017002861746503
10,101504,1,0,0,0,8,750000,13.527828485512494
14,86017,1,0,0,1,8,325000,12.691580461311874
11,85036,1,0,0,1,17,900000,13.710150042306449
18,91086,4,0,0,1,8,180000,12.100712129872347
11,160254,1,0,0,1,6,350000,12.765688433465597
11,125531,1,0,0,1,8,600000,13.304684934198283
5,60000,1,1,0,0,9,900000,13.710150042306449
18,100000,1,1,0,0,24,350000,12.765688433465597
11,90000,1,1,0,2,18,280000,12.542544882151386
15,120000,1,1,0,1,17,225000,12.323855681186558
10,82000,1,1,0,0,9,520000,13.16158409055761
8,60000,1,1,0,0,17,509999,13.142164043914272
5,24000,4,1,0,0,18,556000,13.228523573232719
10,120000,1,1,0,0,25,225000,12.323855681186558
11,65000,1,0,0,0,9,325000,12.691580461311874
11,65000,1,0,0,0,18,365000,12.80765263256463
9,84000,1,0,0,0,10,850000,13.652991628466498
11,75000,1,0,0,0,26,350000,12.765688433465597
17,50000,1,0,0,0,18,225000,12.323855681186558
13,50000,4,1,0,0,18,135000,11.813030057420567
17,49000,4,0,0,0,18,140000,11.84939770159144
8,560000,1,0,0,0,18,665000,13.407542319637992
9,14365,4,0,0,0,23,275000,12.524526376648708
7,41000,1,1,1,0,26,2750000,14.827111469642754
11,65000,1,0,0,0,10,484999,13.091902108061824
9,65000,1,0,0,0,18,565000,13.244581010128577
11,61083,1,0,0,0,18,425000,12.959844447906553
11,75000,1,1,0,0,26,925000,13.737549016494562
12,72000,1,0,0,0,17,565000,13.244581010128577
10,65000,1,0,0,0,23,525000,13.17115354157376
7,55000,1,0,0,0,10,1650000,14.316285845876763
9,21000,4,0,0,1,10,295000,12.594730635321957
12,66363,4,0,1,1,12,2050000,14.53335035111459
6,11700,4,0,1,0,10,1475000,14.204168547756057
7,10000,4,1,1,0,10,1100000,13.9108207377686
10,100000,1,1,1,1,19,4400000,15.29711509888849
8,7104,4,2,0,0,18,670000,13.415032991367148
9,45974,1,2,0,0,18,750000,13.527828485512494
9,55340,4,2,0,0,10,760000,13.541073712262515
7,20000,4,0,1,1,27,850000,13.652991628466498
9,61585,1,2,0,0,23,390000,12.873902018105829
8,39415,4,2,1,1,18,450000,13.017002861746503
10,29654,4,2,0,0,9,425000,12.959844447906553
